1,cubewall_unscheduled_0519.eso,cubewall_scheduled_0519.eso,
,,,
Date/Time,[1] Surface Outside Face Incident Solar Radiation Rate per Area  (W/m2),[1] Surface Outside Face Incident Solar Radiation Rate per Area  (W/m2),
,SHADER_0,SHADER_0,
Year 1 Jan 14 1:00 AM,0,0,0
Year 1 Jan 14 2:00 AM,0,0,0
Year 1 Jan 14 3:00 AM,0,0,0
Year 1 Jan 14 4:00 AM,0,0,0
Year 1 Jan 14 5:00 AM,0,0,0
Year 1 Jan 14 6:00 AM,0,0,0
Year 1 Jan 14 7:00 AM,0,0,0
Year 1 Jan 14 8:00 AM,8.113890561,8.113890561,0
Year 1 Jan 14 9:00 AM,31.32218052,31.32218052,0
Year 1 Jan 14 10:00 AM,49.9081531,49.9081531,0
Year 1 Jan 14 11:00 AM,61.54333268,61.54333268,0
Year 1 Jan 14 12:00 PM,71.26534819,71.26534819,0
Year 1 Jan 14 1:00 PM,66.65837056,66.65837056,0
Year 1 Jan 14 2:00 PM,37.18751909,37.18751909,0
Year 1 Jan 14 3:00 PM,30.81880085,30.81880085,0
Year 1 Jan 14 4:00 PM,21.06566026,21.06566026,0
Year 1 Jan 14 5:00 PM,5.540197793,5.540197793,0
Year 1 Jan 14 6:00 PM,0,0,0
Year 1 Jan 14 7:00 PM,0,0,0
Year 1 Jan 14 8:00 PM,0,0,0
Year 1 Jan 14 9:00 PM,0,0,0
Year 1 Jan 14 10:00 PM,0,0,0
Year 1 Jan 14 11:00 PM,0,0,0
Year 1 Jan 15 12:00 AM,0,0,0
Year 1 Jan 15 1:00 AM,0,0,0
Year 1 Jan 15 2:00 AM,0,0,0
Year 1 Jan 15 3:00 AM,0,0,0
Year 1 Jan 15 4:00 AM,0,0,0
Year 1 Jan 15 5:00 AM,0,0,0
Year 1 Jan 15 6:00 AM,0,0,0
Year 1 Jan 15 7:00 AM,0,0,0
Year 1 Jan 15 8:00 AM,8.842458919,8.842458919,0
Year 1 Jan 15 9:00 AM,27.84694967,27.84694967,0
Year 1 Jan 15 10:00 AM,40.70882908,40.70882908,0
Year 1 Jan 15 11:00 AM,44.91014139,44.91014139,0
Year 1 Jan 15 12:00 PM,49.20771341,49.20771341,0
Year 1 Jan 15 1:00 PM,57.96426557,57.96426557,0
Year 1 Jan 15 2:00 PM,54.79340036,54.79340036,0
Year 1 Jan 15 3:00 PM,46.26701416,46.26701416,0
Year 1 Jan 15 4:00 PM,27.89725596,27.89725596,0
Year 1 Jan 15 5:00 PM,5.999987868,5.999987868,0
Year 1 Jan 15 6:00 PM,0,0,0
Year 1 Jan 15 7:00 PM,0,0,0
Year 1 Jan 15 8:00 PM,0,0,0
Year 1 Jan 15 9:00 PM,0,0,0
Year 1 Jan 15 10:00 PM,0,0,0
Year 1 Jan 15 11:00 PM,0,0,0
Year 1 Jan 16 12:00 AM,0,0,0
Year 1 Jan 16 1:00 AM,0,0,0
Year 1 Jan 16 2:00 AM,0,0,0
Year 1 Jan 16 3:00 AM,0,0,0
Year 1 Jan 16 4:00 AM,0,0,0
Year 1 Jan 16 5:00 AM,0,0,0
Year 1 Jan 16 6:00 AM,0,0,0
Year 1 Jan 16 7:00 AM,0,0,0
Year 1 Jan 16 8:00 AM,9.010142292,9.010142292,0
Year 1 Jan 16 9:00 AM,35.55955418,35.55955418,0
Year 1 Jan 16 10:00 AM,54.86563434,54.86563434,0
Year 1 Jan 16 11:00 AM,58.51040067,58.51040067,0
Year 1 Jan 16 12:00 PM,70.65859166,70.65859166,0
Year 1 Jan 16 1:00 PM,58.23404237,58.23404237,0
Year 1 Jan 16 2:00 PM,54.18999781,54.18999781,0
Year 1 Jan 16 3:00 PM,50.35790877,50.35790877,0
Year 1 Jan 16 4:00 PM,28.75301547,28.75301547,0
Year 1 Jan 16 5:00 PM,6.520515074,6.520515074,0
Year 1 Jan 16 6:00 PM,0,0,0
Year 1 Jan 16 7:00 PM,0,0,0
Year 1 Jan 16 8:00 PM,0,0,0
Year 1 Jan 16 9:00 PM,0,0,0
Year 1 Jan 16 10:00 PM,0,0,0
Year 1 Jan 16 11:00 PM,0,0,0
Year 1 Jan 17 12:00 AM,0,0,0
Year 1 Jan 17 1:00 AM,0,0,0
Year 1 Jan 17 2:00 AM,0,0,0
Year 1 Jan 17 3:00 AM,0,0,0
Year 1 Jan 17 4:00 AM,0,0,0
Year 1 Jan 17 5:00 AM,0,0,0
