Surface Name,6:F0: SurfDifShdgRatioIsoSky,6:F0: SurfDifShdgRatioHoriz,6:F0: ViewFactorSkyIR,6:F0: ViewFactorGroundIR,6:F1: SurfDifShdgRatioIsoSky,6:F1: SurfDifShdgRatioHoriz,6:F1: ViewFactorSkyIR,6:F1: ViewFactorGroundIR,6:F2: SurfDifShdgRatioIsoSky,6:F2: SurfDifShdgRatioHoriz,6:F2: ViewFactorSkyIR,6:F2: ViewFactorGroundIR,6:F2_W0: SurfDifShdgRatioIsoSky,6:F2_W0: SurfDifShdgRatioHoriz,6:F2_W0: ViewFactorSkyIR,6:F2_W0: ViewFactorGroundIR,6:F3: SurfDifShdgRatioIsoSky,6:F3: SurfDifShdgRatioHoriz,6:F3: ViewFactorSkyIR,6:F3: ViewFactorGroundIR,6:F3_W0: SurfDifShdgRatioIsoSky,6:F3_W0: SurfDifShdgRatioHoriz,6:F3_W0: ViewFactorSkyIR,6:F3_W0: ViewFactorGroundIR,6:F3_W1: SurfDifShdgRatioIsoSky,6:F3_W1: SurfDifShdgRatioHoriz,6:F3_W1: ViewFactorSkyIR,6:F3_W1: ViewFactorGroundIR,6:F4: SurfDifShdgRatioIsoSky,6:F4: SurfDifShdgRatioHoriz,6:F4: ViewFactorSkyIR,6:F4: ViewFactorGroundIR
 01/01 10:00,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,0.348280911,0.348280911,0.384615,0.25,1,1,0.269231,0.458333,0.347650908,0.347650908,0.326923,0.395833,0.658154617,0.658154617,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 10:10,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,0.408342192,0.408342192,0.384615,0.25,1,1,0.269231,0.458333,0.358187254,0.358187254,0.326923,0.395833,0.783556321,0.783556321,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 10:20,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,0.408342192,0.408342192,0.384615,0.25,1,1,0.269231,0.458333,0.358187254,0.358187254,0.326923,0.395833,0.783556321,0.783556321,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 10:30,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,0.408342192,0.408342192,0.384615,0.25,1,1,0.269231,0.458333,0.358187254,0.358187254,0.326923,0.395833,0.783556321,0.783556321,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 10:40,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,0.408342192,0.408342192,0.384615,0.25,1,1,0.269231,0.458333,0.358187254,0.358187254,0.326923,0.395833,0.783556321,0.783556321,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 10:50,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,0.408342192,0.408342192,0.384615,0.25,1,1,0.269231,0.458333,0.358187254,0.358187254,0.326923,0.395833,0.783556321,0.783556321,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 11:00,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,0.408342192,0.408342192,0.384615,0.25,1,1,0.269231,0.458333,0.358187254,0.358187254,0.326923,0.395833,0.783556321,0.783556321,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 11:10,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,0.396580859,0.396580859,0.384615,0.25,1,1,0.269231,0.458333,0.321643518,0.321643518,0.326923,0.395833,0.771592873,0.771592873,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 11:20,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,0.396580859,0.396580859,0.384615,0.25,1,1,0.269231,0.458333,0.321643518,0.321643518,0.326923,0.395833,0.771592873,0.771592873,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 11:30,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,0.396580859,0.396580859,0.384615,0.25,1,1,0.269231,0.458333,0.321643518,0.321643518,0.326923,0.395833,0.771592873,0.771592873,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 11:40,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,0.396580859,0.396580859,0.384615,0.25,1,1,0.269231,0.458333,0.321643518,0.321643518,0.326923,0.395833,0.771592873,0.771592873,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 11:50,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,0.396580859,0.396580859,0.384615,0.25,1,1,0.269231,0.458333,0.321643518,0.321643518,0.326923,0.395833,0.771592873,0.771592873,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 12:00,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,0.396580859,0.396580859,0.384615,0.25,1,1,0.269231,0.458333,0.321643518,0.321643518,0.326923,0.395833,0.771592873,0.771592873,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 12:10,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,0.381622078,0.381622078,0.384615,0.25,1,1,0.269231,0.458333,0.283202408,0.283202408,0.326923,0.395833,0.706874383,0.706874383,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 12:20,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,0.381622078,0.381622078,0.384615,0.25,1,1,0.269231,0.458333,0.283202408,0.283202408,0.326923,0.395833,0.706874383,0.706874383,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 12:30,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,0.381622078,0.381622078,0.384615,0.25,1,1,0.269231,0.458333,0.283202408,0.283202408,0.326923,0.395833,0.706874383,0.706874383,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 12:40,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,0.381622078,0.381622078,0.384615,0.25,1,1,0.269231,0.458333,0.283202408,0.283202408,0.326923,0.395833,0.706874383,0.706874383,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 12:50,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,0.381622078,0.381622078,0.384615,0.25,1,1,0.269231,0.458333,0.283202408,0.283202408,0.326923,0.395833,0.706874383,0.706874383,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 13:00,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,0.381622078,0.381622078,0.384615,0.25,1,1,0.269231,0.458333,0.283202408,0.283202408,0.326923,0.395833,0.706874383,0.706874383,0.384615,0.229167,1,1,0.326923,0.395833
 01/01 13:10,1,1,0.326923,0.333333,1,1,0.346154,0.333333,1,1,0.288462,0.416667,0.343816527,0.343816527,0.384615,0.25,1,1,0.269231,0.458333,0.256598352,0.256598352,0.326923,0.395833,0.638125885,0.638125885,0.384615,0.229167,1,1,0.326923,0.395833
