Surface Name,6:F0,6:F1,6:F2,6:F2_W0,6:F3,6:F3_W0,6:F3_W1,6:F4
 01/01 16:10,329.9773153,0.036697248,330.9765731,0.036697248,450.9706432,0.07079646,0.020100503,0.01076716
 01/01 16:20,329.9773153,0.036697248,330.9765731,0.036697248,450.9706432,0.07079646,0.020100503,0.01076716
 01/01 16:30,329.9773153,0.036697248,330.9765731,0.036697248,450.9706432,0.07079646,0.020100503,0.01076716
 01/01 16:40,329.9773153,0.036697248,330.9765731,0.036697248,450.9706432,0.07079646,0.020100503,0.01076716
 01/01 16:50,329.9773153,0.036697248,330.9765731,0.036697248,450.9706432,0.07079646,0.020100503,0.01076716
 01/01 17:00,329.9773153,0.036697248,330.9765731,0.036697248,450.9706432,0.07079646,0.020100503,0.01076716
 01/01 17:10,0.075221239,0.038990826,0.021356784,0.038990826,0.023097826,0.075221239,0.021356784,0.011440108
 01/01 17:20,0.075221239,0.038990826,0.021356784,0.038990826,0.023097826,0.075221239,0.021356784,0.011440108
 01/01 17:30,0.075221239,0.038990826,0.021356784,0.038990826,0.023097826,0.075221239,0.021356784,0.011440108
 01/01 17:40,0.075221239,0.038990826,0.021356784,0.038990826,0.023097826,0.075221239,0.021356784,0.011440108
 01/01 17:50,0.075221239,0.038990826,0.021356784,0.038990826,0.023097826,0.075221239,0.021356784,0.011440108
 01/01 18:00,0.075221239,0.038990826,0.021356784,0.038990826,0.023097826,0.075221239,0.021356784,0.011440108
 01/01 18:10,0.079646018,0.041284404,0.022613065,0.041284404,0.024456522,0.079646018,0.022613065,0.012113055
 01/01 18:20,0.079646018,0.041284404,0.022613065,0.041284404,0.024456522,0.079646018,0.022613065,0.012113055
 01/01 18:30,0.079646018,0.041284404,0.022613065,0.041284404,0.024456522,0.079646018,0.022613065,0.012113055
 01/01 18:40,0.079646018,0.041284404,0.022613065,0.041284404,0.024456522,0.079646018,0.022613065,0.012113055
 01/01 18:50,0.079646018,0.041284404,0.022613065,0.041284404,0.024456522,0.079646018,0.022613065,0.012113055
 01/01 19:00,0.079646018,0.041284404,0.022613065,0.041284404,0.024456522,0.079646018,0.022613065,0.012113055
 01/01 19:10,0.084070796,0.043577982,0.023869347,0.043577982,0.025815217,0.084070796,0.023869347,0.012786003
 01/01 19:20,0.084070796,0.043577982,0.023869347,0.043577982,0.025815217,0.084070796,0.023869347,0.012786003
 01/01 19:30,0.084070796,0.043577982,0.023869347,0.043577982,0.025815217,0.084070796,0.023869347,0.012786003
 01/01 19:40,0.084070796,0.043577982,0.023869347,0.043577982,0.025815217,0.084070796,0.023869347,0.012786003
 01/01 19:50,0.084070796,0.043577982,0.023869347,0.043577982,0.025815217,0.084070796,0.023869347,0.012786003
 01/01 20:00,0.084070796,0.043577982,0.023869347,0.043577982,0.025815217,0.084070796,0.023869347,0.012786003
 01/01 20:10,0.088495575,0.04587156,0.025125628,0.04587156,0.027173913,0.088495575,0.025125628,0.01345895
 01/01 20:20,0.088495575,0.04587156,0.025125628,0.04587156,0.027173913,0.088495575,0.025125628,0.01345895
 01/01 20:30,0.088495575,0.04587156,0.025125628,0.04587156,0.027173913,0.088495575,0.025125628,0.01345895
 01/01 20:40,0.088495575,0.04587156,0.025125628,0.04587156,0.027173913,0.088495575,0.025125628,0.01345895
 01/01 20:50,0.088495575,0.04587156,0.025125628,0.04587156,0.027173913,0.088495575,0.025125628,0.01345895
 01/01 21:00,0.088495575,0.04587156,0.025125628,0.04587156,0.027173913,0.088495575,0.025125628,0.01345895
 01/01 21:10,0.092920354,0.048165138,0.02638191,0.048165138,0.028532609,0.092920354,0.02638191,0.014131898
 01/01 21:20,0.092920354,0.048165138,0.02638191,0.048165138,0.028532609,0.092920354,0.02638191,0.014131898
 01/01 21:30,0.092920354,0.048165138,0.02638191,0.048165138,0.028532609,0.092920354,0.02638191,0.014131898
 01/01 21:40,0.092920354,0.048165138,0.02638191,0.048165138,0.028532609,0.092920354,0.02638191,0.014131898
 01/01 21:50,0.092920354,0.048165138,0.02638191,0.048165138,0.028532609,0.092920354,0.02638191,0.014131898
 01/01 22:00,0.092920354,0.048165138,0.02638191,0.048165138,0.028532609,0.092920354,0.02638191,0.014131898
 01/01 22:10,0.097345133,0.050458716,0.027638191,0.050458716,0.029891304,0.097345133,0.027638191,0.014804845
 01/01 22:20,0.097345133,0.050458716,0.027638191,0.050458716,0.029891304,0.097345133,0.027638191,0.014804845
 01/01 22:30,0.097345133,0.050458716,0.027638191,0.050458716,0.029891304,0.097345133,0.027638191,0.014804845
 01/01 22:40,0.097345133,0.050458716,0.027638191,0.050458716,0.029891304,0.097345133,0.027638191,0.014804845
 01/01 22:50,0.097345133,0.050458716,0.027638191,0.050458716,0.029891304,0.097345133,0.027638191,0.014804845
 01/01 23:00,0.097345133,0.050458716,0.027638191,0.050458716,0.029891304,0.097345133,0.027638191,0.014804845
 01/01 23:10,0.101769912,0.052752294,0.028894472,0.052752294,0.03125,0.101769912,0.028894472,0.015477793
 01/01 23:20,0.101769912,0.052752294,0.028894472,0.052752294,0.03125,0.101769912,0.028894472,0.015477793
 01/01 23:30,0.101769912,0.052752294,0.028894472,0.052752294,0.03125,0.101769912,0.028894472,0.015477793
 01/01 23:40,0.101769912,0.052752294,0.028894472,0.052752294,0.03125,0.101769912,0.028894472,0.015477793
 01/01 23:50,0.101769912,0.052752294,0.028894472,0.052752294,0.03125,0.101769912,0.028894472,0.015477793
 01/01 24:00,0.101769912,0.052752294,0.028894472,0.052752294,0.03125,0.101769912,0.028894472,0.015477793
 01/02 00:10,0.10619469,0.055045872,0.030150754,0.055045872,0.032608696,0.10619469,0.030150754,0.01615074
 01/02 00:20,0.10619469,0.055045872,0.030150754,0.055045872,0.032608696,0.10619469,0.030150754,0.01615074
 01/02 00:30,0.10619469,0.055045872,0.030150754,0.055045872,0.032608696,0.10619469,0.030150754,0.01615074
 01/02 00:40,0.10619469,0.055045872,0.030150754,0.055045872,0.032608696,0.10619469,0.030150754,0.01615074
 01/02 00:50,0.10619469,0.055045872,0.030150754,0.055045872,0.032608696,0.10619469,0.030150754,0.01615074
 01/02 01:00,0.10619469,0.055045872,0.030150754,0.055045872,0.032608696,0.10619469,0.030150754,0.01615074
 01/02 01:10,0.110619469,0.05733945,0.031407035,0.05733945,0.033967391,0.110619469,0.031407035,0.016823688
 01/02 01:20,0.110619469,0.05733945,0.031407035,0.05733945,0.033967391,0.110619469,0.031407035,0.016823688
 01/02 01:30,0.110619469,0.05733945,0.031407035,0.05733945,0.033967391,0.110619469,0.031407035,0.016823688
 01/02 01:40,0.110619469,0.05733945,0.031407035,0.05733945,0.033967391,0.110619469,0.031407035,0.016823688
 01/02 01:50,0.110619469,0.05733945,0.031407035,0.05733945,0.033967391,0.110619469,0.031407035,0.016823688
 01/02 02:00,0.110619469,0.05733945,0.031407035,0.05733945,0.033967391,0.110619469,0.031407035,0.016823688
 01/02 02:10,0.115044248,0.059633028,0.032663317,0.059633028,0.035326087,0.115044248,0.032663317,0.017496635
 01/02 02:20,0.115044248,0.059633028,0.032663317,0.059633028,0.035326087,0.115044248,0.032663317,0.017496635
 01/02 02:30,0.115044248,0.059633028,0.032663317,0.059633028,0.035326087,0.115044248,0.032663317,0.017496635
 01/02 02:40,0.115044248,0.059633028,0.032663317,0.059633028,0.035326087,0.115044248,0.032663317,0.017496635
 01/02 02:50,0.115044248,0.059633028,0.032663317,0.059633028,0.035326087,0.115044248,0.032663317,0.017496635
 01/02 03:00,0.115044248,0.059633028,0.032663317,0.059633028,0.035326087,0.115044248,0.032663317,0.017496635
 01/02 03:10,0.119469027,0.061926606,0.033919598,0.061926606,0.036684783,0.119469027,0.033919598,0.018169583
 01/02 03:20,0.119469027,0.061926606,0.033919598,0.061926606,0.036684783,0.119469027,0.033919598,0.018169583
 01/02 03:30,0.119469027,0.061926606,0.033919598,0.061926606,0.036684783,0.119469027,0.033919598,0.018169583
